tweet,label,Id
RT @Brandon__52: So Starbucks is in target and they said they might be out of honey If you don’t walk your ass down isle 9 and I done alrea…,1,49
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,50
"Check out Starbucks (Jeddah, Makkah) on @FoursquareGuide: https://t.co/UgeIskudrN https://t.co/zWR3srzgWc https://t.co/r5qemyPM4U",0,51
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,52
i will literally buy you a starbucks building if you want it,0,53
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,54
"RT @Ninja: The girls at the Starbucks drive through asked for my name, I said Tyler. Pulled up and saw them talking and smiling and they wr…",1,55
"which one would you order? 🍒

#threads #starbucks #explorepage #aesthetic #drink #starbuckssecretmenu #secret #menu… https://t.co/EvYQdXg73E",0,56
"RT @Ninja: The girls at the Starbucks drive through asked for my name, I said Tyler. Pulled up and saw them talking and smiling and they wr…",1,57
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,58
@seungcobie @WE_THE_BOYZ I SWEAR HE CAN'T GO ANYWHERE WITHOUT DRINKING STARBUCKS,0,59
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,60
"RT @LoreTohsaka: @latewithlilly @NBCUSocialSynch @Starbucks Oh wow, this was so damn cringy lmaooo",1,61
RT @d3gonzo: @latewithlilly @NBCUSocialSynch @Starbucks Watch me attempt to work a customer service job. Riveting content...,0,62
RT @latewithlilly: Lilly decided to take the day off from hosting #LateWithLilly and learn what it takes to be a @Starbucks barista! ☕️ #ad…,0,63
A boo who gonna support me being a starbucks addict and take me when I want&gt;&gt;,0,64
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,65
top 10 questions to ask my college: how do we both have a Starbucks and a Costa cafe when we're the size of a very large highschool?,0,66
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,67
@WE_THE_BOYZ @_larynn_ every starbucks he probably tried,0,68
"RT @Cocoa_Bean10: Now do Muslim religious greetings comrade McPipsqueak

 ... Drinking Barney’s coffee while I wait https://t.co/joCtZmaQwM",0,69
"I'm at Starbucks in Jeddah, Makkah https://t.co/Uesfg5WO8n https://t.co/29P6lzU6i0",0,70
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,71
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,72
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,73
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,74
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,75
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,76
@whippedforkev @WE_THE_BOYZ starbucks is constantly coursing through his veins,1,77
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,78
also me walking into starbucks with a bunch of greggs doughnuts for a coffee although i couldve got one for mad che… https://t.co/BO1EVPkuz6,0,79
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,80
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,81
the way im crying in Starbucks rn,1,82
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,83
RT @ohhoe: @TIME People in the replies mad about this are the same type of people who get mad when Starbucks removed Christmas from their c…,1,84
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,85
"Unlimited coffee! 🥰 (@ Starbucks in Amsterdam, Noord-Holland) https://t.co/GuudqhkbB9",0,86
"Need a very hot drink here -15c hiking to and from Genghis Khan Square (@ Starbucks in Xilin Gol, Nei Mongol) https://t.co/ErzQIcagtK",0,87
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,88
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,89
i spend rm30 at starbucks today just for myself. some guy bawa rm20 to starbucks for first date? hm,0,90
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,91
#Starbucks uk wankers not enough eggnog around,0,92
I really hope Starbucks corporate is looking into this situation &amp; correcting it now that the truth is out. The wom… https://t.co/tpjQznoV39,1,93
"I'm at Starbucks in Al Jubayl Industrial City, Ash Sharqiyah https://t.co/eZRx91yJ17",0,94
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,95
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,96
"met in my freshman year, loved his personality but didn’t say anything lol, starting talking in my sophomore year w… https://t.co/5VMBb3TL4f",0,97
like it feels UNNECESSARY we also have an actual college institution food place but. we straight up just have a cos… https://t.co/OfDGurnzaM,1,98
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,99
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,100
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,101
"i feel betrayed, we hate starbucks in this household",1,102
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,103
"My opinion?

While I understand the point the poster is trying to make, in reality, giving is giving. I treat mysel… https://t.co/PlYIQgyrnv",0,104
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,105
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,106
"STARBUCKS 
RESERVE ROASTERY TOKYO

#Starbucks #coffee https://t.co/OywpqfzdrL",0,107
I'm at Starbucks - @rramhkwt https://t.co/awwzKBIlsr,0,108
"RT @AmyyyRosee: Really in need of coffee, someone bring me a Starbucks please and thank you 😍🤤☕️",0,109
"RT @Ninja: The girls at the Starbucks drive through asked for my name, I said Tyler. Pulled up and saw them talking and smiling and they wr…",1,110
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,111
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,112
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,113
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,114
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,115
Still with starbucks,0,116
RT @MissOMara: someone started one!! https://t.co/DedgkykxDk,0,117
"RT @jeonykook: me: *studying Japanese*
person at Starbucks: “oh my gosh is that precalculus? Good luck!”",0,118
"RT @AdotGif: Thanks for the shout-out on the pod, @Chad_Sowash! IDK how ""legit"" I am, but in addition to the @ForbesCommCncl stuff, I do Di…",0,119
"STARBUCKS 
RESERVE ROASTERY TOKYO

#Starbucks #coffee https://t.co/P8qDNeTn6V",0,120
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,121
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,122
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,123
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,124
Ordering my Starbucks from the app as I enter the store is 😁. Queue for who,0,125
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,126
I’m convinced Starbucks only make hot chocolate.,0,127
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,128
RT @dugglebutt: What I see when I turn around waiting in line at Starbucks https://t.co/URU4z47h7H,0,129
All I’m asking for is a Starbucks within 3 mins of my house. I’m a simple woman.,1,130
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,131
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,132
RT @Indian_paradox: Fucking Privileged kids sitting in Starbucks telling the rural crowd why they are dumb c*nts for voting BJP. Reading In…,1,133
@Kentswingersuk Might get me thrown out of Starbucks!,1,134
"Looking to join Starbucks, MDLZ (@MDLZ), or Martin Brower UK (@MBHires)? View 26 openings from these companies and more.",0,135
based on my friends experiences....Starbucks needs to stop treating their employees like shit.,1,136
@CutieWhales Pas Starbucks juste drama haha https://t.co/2wDdLGQjyY,1,137
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,138
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,139
"I'm at @Starbucks in Dammam, eastern https://t.co/dLGrfM6vpO",0,140
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,141
Did you know that #Starbucks is now open at The Pavilion? Great news for Westville shoppers who need to refuel this… https://t.co/R5ulTHATFi,0,142
"RT @SilentAdmirer_8: Hey guys, if you happen to go on a roadtrip in Tagaytay and you are looking for a coffee shop, try to visit Dreamland…",0,143
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,144
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,145
"RT @RachieBabe079: Tried this coffee at nfr in vegas last week. DELICIOUS!

Veteran-owned coffee company donates to Oklahoma police bashed…",1,146
2 more drinks to get the Starbucks Planner 💪🏻,0,147
"Had a can of StarBucks coffee in my backpack a month ago at work. Set it harder than I thought on a desk, the can s… https://t.co/UB1MEq6QNE",0,148
It’s only 9:45 and all these coughing office fucks are already here at Starbucks not letting me concentrate on work 😭,1,149
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,150
"RT @softendear: a fan told ten to eat fruits yesterday, ten said he doesn't want too but instead he's drinking fruit juices from starbucks…",0,151
@kawisabee @timneroz @argumentwinner https://t.co/m4XWjIH7Iq in this story,0,152
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,153
"Looking for Part Time work?

We have a vacancy with @Aramark on our Starbucks Counter in the Atrium! 

Interested?… https://t.co/VUYw1WGNCR",0,154
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,155
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,156
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,157
"RT @theblackdetour: Black Couple Purchased North Carolina Retail Strip Center That Holds Starbucks and Buffalo Wild Wings 

https://t.co/L4…",1,158
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,159
Starbucks marketing team is shaking 😂,1,160
RT @awjiminie: yoongi is literally The Caffeinated College Gay™️ that is always running late to class but somehow has enough time to pick u…,1,161
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,162
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,163
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,164
@ruvbyjane starbucks sayang,0,165
RT @MuellerDad69: I’m the manager of a Starbucks in Charlotte NC. I have informed my employees that they will be fired on the spot if I hea…,1,166
"RT @RachieBabe079: Tried this coffee at nfr in vegas last week. DELICIOUS!

Veteran-owned coffee company donates to Oklahoma police bashed…",0,167
"I may blow up the world, I may not. Depending on what mood I am and how long I have to wait for Starbucks https://t.co/9HSUDZeq4c",1,168
"RT @RNTata2000: The crowd of people on launch day showed that it wasn’t just about the coffee, but also about relationships. Wishing @Starb…",0,169
"I'm at Starbucks in Kuwait, Hawalli Governorate https://t.co/XOvKMVxmLr",0,170
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,171
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,172
@ starbucks   contrata,0,173
RT @argumentwinner: starbucks has a profanity filter in place to prevent things like this from happening. the only way for the name “pig” t…,1,174
Check out what I just added to my closet on Poshmark: Starbucks Holiday Platinum Studded Tumbler.… https://t.co/s4Z07Zbymi,0,175
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,176
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,177
@HeatherEllayes EVERYTHING FOR STARBUCKS,0,178
Check out what I just added to my closet on Poshmark: Starbucks Holiday Pink Studded Tumbler.… https://t.co/IXIkZwseQF,0,179
"lowkey want a job at starbucks, i know this is the most random thing ever but i miss making coffee",1,180
"RT @chadfelixg: *who wrote ""PIG"" on the police officer's coffee cups and also her being trans was 100% irrelevant. 🙄 https://t.co/m0zhz5aGFq",1,181
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,182
"RT @Ninja: The girls at the Starbucks drive through asked for my name, I said Tyler. Pulled up and saw them talking and smiling and they wr…",1,183
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,184
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,185
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,186
I'm at Starbucks in الرياض https://t.co/Vilfluc8l1,0,187
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,188
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,189
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,190
"this is a bit old but somehow I just came across it and recommend it for a coffee-break-read: https://t.co/MVV2xc1GTF
#Election2020",1,191
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,192
"@IDONTLIKECARS1 ""don't apologize, kid, it's okay."" 

he looked around. they weren't too far from the starbucks, he… https://t.co/9y5AaZEGpm",1,193
RT @Iasshoe: white girls @ starbucks b like : lemme get uh https://t.co/Jz2QtmpImG,1,194
"Been drinking this coffee for a couple years. Custom roasted to your tastes. They support  2A rights 
If you buy fr… https://t.co/dUcfXbvnOa",0,195
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,196
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,197
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,198
"RT @jarznar: Hey if your name is Ashley and you’re dating a guy named David (tall, built, white) he’s talking mad shit about you in front o…",1,199
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,200
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,201
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,202
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,203
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,204
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,205
RT @MuellerDad69: I’m the manager of a Starbucks in Charlotte NC. I have informed my employees that they will be fired on the spot if I hea…,1,206
me happily holding my cup of overpriced starbucks coffee https://t.co/wRFnEnnchS,1,207
RT @Iasshoe: white girls @ starbucks b like : lemme get uh https://t.co/Jz2QtmpImG,1,208
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,209
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,210
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,211
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,212
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,213
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,214
RT @MuellerDad69: I’m the manager of a Starbucks in Charlotte NC. I have informed my employees that they will be fired on the spot if I hea…,1,215
"I worked at Starbucks for a week, I couldn’t handle customers being assholes over their coffee being 10 degrees too… https://t.co/CuC5YdLZ33",1,216
Wow 🤩 https://t.co/7wUvbKNsWo,0,217
RT @Iasshoe: white girls @ starbucks b like : lemme get uh https://t.co/Jz2QtmpImG,1,218
@AtlanticCityKid @MuellerDad69 @Starbucks Certainly,0,219
"RT @Ninja: The girls at the Starbucks drive through asked for my name, I said Tyler. Pulled up and saw them talking and smiling and they wr…",1,220
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,221
"#StarbucksRule #12: #Starbucks = #StealYourBucks

#badservice #badcustomerservice #scam #ripoff… https://t.co/5WlpoxPunC",1,222
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,223
RT @awjiminie: yoongi is literally The Caffeinated College Gay™️ that is always running late to class but somehow has enough time to pick u…,1,224
"I'm at @Starbucks in Kuwait City, Al Asimah https://t.co/wR1WONKQIf",0,225
This #Retail job might be a great fit for you. Click the link in our bio to see it and more. barista - Store# 11719… https://t.co/8j88j1jLln,0,226
"@VreeburgDaan @wazua It was inevitable as we have been replacing coffee bushes with palacial homes, apartments and… https://t.co/vID2TgrTPz",0,227
"RT @sed_potato: Things you can't see in Pakistan
- Starbucks
- Instagram music
- Spotify
- People minding their own business",0,228
"@ starbucks cashier boy, yre cute but pls don't stare at me it creeps me out",1,229
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,230
Going on a trip? Want to have a statement towel/blanket? Want a cute transparent bag? We've heard you. This kit is… https://t.co/zkx72g3uD9,0,231
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,232
I want Starbucks ):,0,233
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,234
"This thread let me know conservatives think they know the constitution, but actually don’t know how it’s applied",1,235
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,236
RT @_steephz: I want Starbucks ):,0,237
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,238
@danofthewibble There was a great local coffee shop in Central Station.  Starbucks and Cafe Nero close by but not t… https://t.co/4dyCr6vyWK,0,239
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,240
"Welp. Apparently, I got 12 stars in my Starbucks card and I was able to avail a Dark Mocha Frapp. #MBN🙂",1,241
"RT @RachieBabe079: Tried this coffee at nfr in vegas last week. DELICIOUS!

Veteran-owned coffee company donates to Oklahoma police bashed…",0,242
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,243
Management and Shareholders of Starbucks: Starbucks to stop giving franchise to Hong Kong Maxim’s group. 聯署要求Starbu… https://t.co/PofNccGelz,1,244
"RT @DarkSoulsSauron: yo, ex barista here: to circumnavigate the profanity filters on starbucks POS, you'd need to make PIG your account nam…",1,245
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,246
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,247
"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",0,248
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,249
"I'm at Starbucks in Al Jahra, Al Jahrah https://t.co/bl2v8pfacJ",0,250
Bila Starbucks malaysia nak buat pick up option from the apps and tunjuk calorie for each drinks hehehhehe....,0,251
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,252
"Person: It's the festive season, I really fancy a mince pie, going Starbucks Coffee for one later and I am going to… https://t.co/KU4cVwHQiA",0,253
"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",1,254
RT @KVUE: Starbucks to open two locations at Austin airport https://t.co/8rBebE37G8,0,255
"I'm at Starbucks in Al Kuwayt, Al Farwaniyah https://t.co/QD2KQLwMrU https://t.co/lWSQfZdKfD",0,256
RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,1,257
"I'm at Starbucks in 京都市, 京都府 https://t.co/XKLmlOo9kv",0,258
"RT @RVAwonk: So, regarding the faux controversy over the Starbucks cup: The employee who wrote “pig” on the cop’s cup was friends with the…",1,259
